Designator,Mid X,Mid Y,Rotation,Layer
J1,146.425634,-104.222,90.0,bottom
J2,156.500634,-104.37,90.0,bottom
J3,132.25,-100.38435,270.0,bottom
J4,132.25,-100.38435,90.0,top
R1,140.5,-103.25,90.0,bottom
R2,140.46,-97.621666,90.0,bottom
R3,161.0,-99.29,180.0,top
R4,161.0,-101.83,180.0,top
U1,147.275634,-100.57,90.0,top
