Designator,Mid X,Mid Y,Rotation,Layer
C1,129.5,-83.916,270.0,top
C2,126.215,-80.2,180.0,top
C3,126.2325,-81.8,180.0,top
IC1,127.05,-84.0985,180.0,top
IC2,127.04445,-77.6755,0.0,top
J1,122.5,-76.89,270.0,top
R1,127.3,-82.1,0.0,bottom
R2,127.3,-79.2,0.0,bottom
R3,124.2,-78.8325,270.0,bottom
R4,124.3,-82.5675,90.0,bottom
